LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,LEVEL
RCC/PAC Operations Fund,RCC Facility,Convention Center,Gr Ral Conv & Vis Bureau Suppo,,,,450000,275000,525000,525420,416700,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Marketing Revenues,,,,,68000,10827,38700,14500,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Misc Fees & Chgs-Rccc/Pac,,,,40000,45000,45000,50000,50000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Performance Catering Income,,,,500,1000,1000,1000,,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Rental Income,,,,328108,,,,,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Rent-RCC Wireless Service,,,,20000,22000,13000,25000,25000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center,Staff Services,,,,149100,135000,135000,150000,150000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center Total,,,,,7686458,7518455,8167911,8332120,7377184,3
RCC/PAC Operations Fund,RCC Facility,Convention Center Promotions,Fr 715 Conv Ctr Financing Fund,,,,1000000,1000000,1000000,1000000,1000000,4
RCC/PAC Operations Fund,RCC Facility,Convention Center Promotions Total,,,,,1000000,1000000,1000000,1000000,1000000,3
RCC/PAC Operations Fund,RCC Facility,RCC-Underground Pking Deck,Fr 442 Parking Operations,,,,74419,,,,,4
RCC/PAC Operations Fund,RCC Facility,RCC-Underground Pking Deck Total,,,,,74419,,,,,3
RCC/PAC Operations Fund,RCC Facility Total,,,,,,8760877,8535565,9178283,9422812,8407455,2
RCC/PAC Operations Fund,RCC/PAC Admin,General/Fixed Costs,Fr 100 General Fd,,,,1486746,,,,,4
RCC/PAC Operations Fund,RCC/PAC Admin,General/Fixed Costs,Interest On Investments,,,,33430,,,,,4
RCC/PAC Operations Fund,RCC/PAC Admin,General/Fixed Costs,Misc Fees & Chgs-Rccc/Pac,,,,2500,,,,,4
RCC/PAC Operations Fund,RCC/PAC Admin,General/Fixed Costs Total,,,,,1522676,,,,,3
RCC/PAC Operations Fund,RCC/PAC Admin Total,,,,,,1522676,,,,,2
RCC/PAC Operations Fund,RCC/PAC Special Events,Administrative,Fr 100 General Fd,,,,,50255,75751,92289,184188,4
RCC/PAC Operations Fund,RCC/PAC Special Events,Administrative Total,,,,,,50255,75751,92289,184188,3
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Beverage Revenues,,,,,13000,30500,90000,115000,4
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Event Personnel Income,,,,3000,10200,6700,8000,11000,4
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Events Commission,,,,5000,3300,1800,4500,4500,4
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Rccc Exhibitor Fees,,,,,4000,17200,19000,25000,4
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Sponsorships,,,,,30000,90000,110000,110000,4
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Staff Services,,,,2005,2150,1300,3000,4500,4
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs Total,,,,,10005,62650,147500,234500,270000,3
RCC/PAC Operations Fund,RCC/PAC Special Events Total,,,,,,10005,112905,223251,326789,454188,2
RCC/PAC Operations Fund Total,,,,,,,16172280,16335072,17444445,18358729,18651273,1
Revolving Fund,City Manager,Environmental Awards Program,Approp From Prior Year,,,,3500,3500,3500,3500,,4
Revolving Fund,City Manager,Environmental Awards Program,Sponsorships,,,,6000,6000,6000,6000,,4
Revolving Fund,City Manager,Environmental Awards Program Total,,,,,9500,9500,9500,9500,,3
Revolving Fund,City Manager Total,,,,,,9500,9500,9500,9500,,2
Revolving Fund,Community Svcs,Citizen Involvment,Approp From Prior Year,,,,7000,7000,30000,30000,30000,4
Revolving Fund,Community Svcs,Citizen Involvment,Donations/Contributions,,,,5000,5000,,,,4
Revolving Fund,Community Svcs,Citizen Involvment Total,,,,,12000,12000,30000,30000,30000,3
Revolving Fund,Community Svcs Total,,,,,,12000,12000,30000,30000,30000,2
Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin,State Reimb-Fire Rrt-4,,,,100000,200000,300000,300000,300000,4
Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin Total,,,,,100000,200000,300000,300000,300000,3
Revolving Fund,Fire Adm Total,,,,,,100000,200000,300000,300000,300000,2
Revolving Fund,Fire Training,Fire-Usar Team Expd,City Match,,,,,,80964,98740,98740,4
Revolving Fund,Fire Training,Fire-Usar Team Expd,Municipal Fire Usar Support,,,,,,,63670,77641,4
Revolving Fund,Fire Training,Fire-Usar Team Expd Total,,,,,,,80964,162410,176381,3
Revolving Fund,Fire Training,Rsv-Cor Fire Usar Reserve,City Match,,,,80964,80964,,,,4
Revolving Fund,Fire Training,Rsv-Cor Fire Usar Reserve Total,,,,,80964,80964,,,,3
Revolving Fund,Fire Training Total,,,,,,80964,80964,80964,162410,176381,2
Revolving Fund,Inspections,Inspections Training Program,Approp From Prior Year,,,,,4802,4842,,,4
Revolving Fund,Inspections,Inspections Training Program,Fees/Sales,,,,4500,4500,4500,1400,1400,4
Revolving Fund,Inspections,Inspections Training Program Total,,,,,4500,9302,9342,1400,1400,3
Revolving Fund,Inspections Total,,,,,,4500,9302,9342,1400,1400,2
Revolving Fund,Non-Departmental,Blank Program Code,Approp From Prior Year,,,,310073,,,,,4
Revolving Fund,Non-Departmental,Blank Program Code Total,,,,,310073,,,,,3
Revolving Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,,,,,207170,,,,4
Revolving Fund,Non-Departmental,Non-Program Revenues Total,,,,,,207170,,,,3
Revolving Fund,Non-Departmental Total,,,,,,310073,207170,,,,2
Revolving Fund,Office of Sustainability,Environmental Awards Program,Approp From Prior Year,,,,,,,,3500,4
Revolving Fund,Office of Sustainability,Environmental Awards Program,Sponsorships,,,,,,,,6000,4
Revolving Fund,Office of Sustainability,Environmental Awards Program Total,,,,,,,,,9500,3
Revolving Fund,Office of Sustainability Total,,,,,,,,,,9500,2
Revolving Fund,Planning,Appearance Commission,Approp From Prior Year,,,,,,1000,,6000,4
Revolving Fund,Planning,Appearance Commission,Donations/Contributions,,,,1000,1000,2500,2000,2000,4
Revolving Fund,Planning,Appearance Commission Total,,,,,1000,1000,3500,2000,8000,3
Revolving Fund,Planning,Ral Historic District Loan Fun,Approp From Prior Year,,,,,,,,3375,4
Revolving Fund,Planning,Ral Historic District Loan Fun,Raleigh Historic District Loan,,,,,,,,20235,4
Revolving Fund,Planning,Ral Historic District Loan Fun Total,,,,,,,,,23610,3
Revolving Fund,Planning Total,,,,,,1000,1000,3500,2000,31610,2
Revolving Fund,Police Administrative Services,Community Watch Signs,Approp From Prior Year,,,,4137,,,,,4
Revolving Fund,Police Administrative Services,Community Watch Signs,Fees/Sales,,,,800,4937,4937,4940,4940,4
Revolving Fund,Police Administrative Services,Community Watch Signs Total,,,,,4937,4937,4937,4940,4940,3
Revolving Fund,Police Administrative Services,Police Donations,Police Dept Misc Revenue,,,,4000,4000,4000,4000,24000,4
Revolving Fund,Police Administrative Services,Police Donations Total,,,,,4000,4000,4000,4000,24000,3
Revolving Fund,Police Administrative Services Total,,,,,,8937,8937,8937,8940,28940,2
Revolving Fund,PRCR - Business Process Mgmt,PR Program Fee Assistance,Approp From Prior Year,,,,,,,10000,16000,4
Revolving Fund,PRCR - Business Process Mgmt,PR Program Fee Assistance,Donations/Contributions,,,,,,,25000,,4
Revolving Fund,PRCR - Business Process Mgmt,PR Program Fee Assistance Total,,,,,,,,35000,16000,3
Revolving Fund,PRCR - Business Process Mgmt Total,,,,,,,,,35000,16000,2
Revolving Fund,PRCR - Parks - Urban Trees,Neighborhood Street Trees,Approp From Prior Year,,,,,,,47144,,4
Revolving Fund,PRCR - Parks - Urban Trees,Neighborhood Street Trees,Donations/Contributions,,,,,,,15856,60000,4
Revolving Fund,PRCR - Parks - Urban Trees,Neighborhood Street Trees Total,,,,,,,,63000,60000,3
Revolving Fund,PRCR - Parks - Urban Trees Total,,,,,,,,,63000,60000,2
Revolving Fund,PRCR - Parks -Park Maintenance,Fletcher Award Program,Approp From Prior Year,,,,,4000,4000,,,4
Revolving Fund,PRCR - Parks -Park Maintenance,Fletcher Award Program Total,,,,,,4000,4000,,,3
Revolving Fund,PRCR - Parks -Park Maintenance,Parks Donations,Approp From Prior Year,,,,,20000,20000,6000,40000,4
Revolving Fund,PRCR - Parks -Park Maintenance,Parks Donations,Donations/Contributions,,,,,10000,10000,13000,15000,4
Revolving Fund,PRCR - Parks -Park Maintenance,Parks Donations,Fees/Sales,,,,,,,6000,,4
Revolving Fund,PRCR - Parks -Park Maintenance,Parks Donations Total,,,,,,30000,30000,25000,55000,3
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,Approp From Prior Year,,,,,5000,5741,8323,15000,4
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,Donations/Contributions,,,,,,,4279,5737,4
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,Fees/Sales,,,,,,,398,,4
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events Total,,,,,,5000,5741,13000,20737,3
Revolving Fund,PRCR - Parks -Park Maintenance Total,,,,,,,39000,39741,38000,75737,2
Revolving Fund,PRCR - Recreation,Adventure Camps,Approp From Prior Year,,,,63457,59000,65000,68000,60000,4
Revolving Fund,PRCR - Recreation,Adventure Camps,Donations/Contributions,,,,28000,30000,36500,37000,30000,4
Revolving Fund,PRCR - Recreation,Adventure Camps,Fees/Sales,,,,335,525,245,350,315,4
Revolving Fund,PRCR - Recreation,Adventure Camps Total,,,,,91792,89525,101745,105350,90315,3
Revolving Fund,PRCR - Recreation,Anderson Point,Approp From Prior Year,,,,25000,25000,20000,20000,20000,4
Revolving Fund,PRCR - Recreation,Anderson Point,Fees/Sales,,,,20000,25000,25000,25000,25000,4
Revolving Fund,PRCR - Recreation,Anderson Point Total,,,,,45000,50000,45000,45000,45000,3
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Approp From Prior Year,,,,7100,16705,100000,130000,107800,4
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Donations/Contributions,,,,,1630,600,900,900,4
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Fees/Sales,,,,311332,343000,343000,389000,388000,4
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs Total,,,,,318432,361335,443600,519900,496700,3
Revolving Fund,PRCR - Recreation,Athletics,Approp From Prior Year,,,,150000,85000,100000,100000,67000,4
Revolving Fund,PRCR - Recreation,Athletics,Fees/Sales,,,,230000,230000,200000,190000,190000,4
Revolving Fund,PRCR - Recreation,Athletics Total,,,,,380000,315000,300000,290000,257000,3
Revolving Fund,PRCR - Recreation,Blank Program Code,Approp From Prior Year,,,,27925,,,,,4
Revolving Fund,PRCR - Recreation,Blank Program Code,Donations/Contributions,,,,500,,,,,4
Revolving Fund,PRCR - Recreation,Blank Program Code Total,,,,,28425,,,,,3
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Approp From Prior Year,,,,135000,105000,90000,155000,210000,4
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Donations/Contributions,,,,110000,,,,131000,4
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Fees/Sales,,,,,,,,3000,4
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,P&R Fee Split Revenue,,,,,115000,115000,135000,115000,4
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Rental Income,,,,,,,,4600,4
Revolving Fund,PRCR - Recreation,Community Ctr Equipment Total,,,,,245000,220000,205000,290000,463600,3
Revolving Fund,PRCR - Recreation,Esl Program,Approp From Prior Year,,,,1000,7700,9000,5650,8000,4
Revolving Fund,PRCR - Recreation,Esl Program,Donations/Contributions,,,,5000,3700,5000,,500,4
Revolving Fund,PRCR - Recreation,Esl Program Total,,,,,6000,11400,14000,5650,8500,3
Revolving Fund,PRCR - Recreation,Fletcher Award Program,Approp From Prior Year,,,,4000,3600,,,,4
Revolving Fund,PRCR - Recreation,Fletcher Award Program,Donations/Contributions,,,,1000,1000,,,,4
Revolving Fund,PRCR - Recreation,Fletcher Award Program Total,,,,,5000,4600,,,,3
Revolving Fund,PRCR - Recreation,General Recreation,Approp From Prior Year,,,,175000,160000,160000,130000,,4
Revolving Fund,PRCR - Recreation,General Recreation,Donations/Contributions,,,,112000,125000,130000,140000,,4
Revolving Fund,PRCR - Recreation,General Recreation,Fees/Sales,,,,1000,,,,,4
Revolving Fund,PRCR - Recreation,General Recreation,Rental Income,,,,2000,18000,18000,8500,,4
Revolving Fund,PRCR - Recreation,General Recreation Total,,,,,290000,303000,308000,278500,,3
Revolving Fund,PRCR - Recreation,Golden Years,Approp From Prior Year,,,,50000,63000,65000,60000,60000,4
Revolving Fund,PRCR - Recreation,Golden Years,Donations/Contributions,,,,49033,75000,90000,110000,130000,4
Revolving Fund,PRCR - Recreation,Golden Years,Fees/Sales,,,,30000,25000,25000,50000,90000,4
Revolving Fund,PRCR - Recreation,Golden Years Total,,,,,129033,163000,180000,220000,280000,3
Revolving Fund,PRCR - Recreation,Neighborhood Street Trees,Approp From Prior Year,,,,23000,,,,,4
Revolving Fund,PRCR - Recreation,Neighborhood Street Trees,Donations/Contributions,,,,9000,,,,,4
Revolving Fund,PRCR - Recreation,Neighborhood Street Trees Total,,,,,32000,,,,,3
Revolving Fund,PRCR - Recreation,Non-Program Revenues,Approp From Prior Year,,,,1420361,1607615,1784070,1947231,1669550,4
Revolving Fund,PRCR - Recreation,Non-Program Revenues,Donations/Contributions,,,,497658,380940,410000,504400,688200,4
Revolving Fund,PRCR - Recreation,Non-Program Revenues,Fees/Sales,,,,1423450,1547180,1678000,1775200,1601700,4
Revolving Fund,PRCR - Recreation,Non-Program Revenues,Misc Rev-Solar Array Income,,,,,1000,1000,,,4
Revolving Fund,PRCR - Recreation,Non-Program Revenues Total,,,,,3341469,3536735,3873070,4226831,3959450,3
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Approp From Prior Year,,,,240640,225000,155000,100000,5000,4
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Fees/Sales,,,,230000,,,,,4
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,P&R Fee Split Revenue,,,,,195000,225000,285000,259790,4
Revolving Fund,PRCR - Recreation,Parks & Rec Automation Total,,,,,470640,420000,380000,385000,264790,3
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Approp From Prior Year,,,,103935,53252,95000,93000,90000,4
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Donations/Contributions,,,,140000,140000,,,,4
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Fees/Sales,,,,110000,,,,,4
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,P&R Fee Split Revenue,,,,,108000,150000,180000,195000,4
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing Total,,,,,353935,301252,245000,273000,285000,3
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Approp From Prior Year,,,,79935,58000,58000,58000,45000,4
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Donations/Contributions,,,,19000,33000,33000,34000,34000,4
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium Total,,,,,98935,91000,91000,92000,79000,3
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Donations/Contributions,,,,21000,,,,,4
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving Total,,,,,21000,,,,,3
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Approp From Prior Year,,,,7000,11000,12000,18500,21000,4
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Donations/Contributions,,,,3500,3500,4000,4000,5000,4
Revolving Fund,PRCR - Recreation,Raleigh Youth Council Total,,,,,10500,14500,16000,22500,26000,3
Revolving Fund,PRCR - Recreation,Run For The Oaks,Approp From Prior Year,,,,4000,5000,5000,,,4
Revolving Fund,PRCR - Recreation,Run For The Oaks,Donations/Contributions,,,,16500,15000,15000,,,4
Revolving Fund,PRCR - Recreation,Run For The Oaks Total,,,,,20500,20000,20000,,,3
Revolving Fund,PRCR - Recreation,St Monica Teens,Approp From Prior Year,,,,19500,15000,18000,,,4
Revolving Fund,PRCR - Recreation,St Monica Teens,Donations/Contributions,,,,1500,500,500,,,4
Revolving Fund,PRCR - Recreation,St Monica Teens Total,,,,,21000,15500,18500,,,3
Revolving Fund,PRCR - Recreation,Teen Programs,Approp From Prior Year,,,,150000,140000,240000,275000,250000,4
Revolving Fund,PRCR - Recreation,Teen Programs,Donations/Contributions,,,,85000,85000,6000,15000,15000,4
Revolving Fund,PRCR - Recreation,Teen Programs,Fees/Sales,,,,1200,2500,95000,130000,110000,4
Revolving Fund,PRCR - Recreation,Teen Programs Total,,,,,236200,227500,341000,420000,375000,3
Revolving Fund,PRCR - Recreation,Tennis,Approp From Prior Year,,,,75000,90000,30000,25000,20000,4
Revolving Fund,PRCR - Recreation,Tennis,Donations/Contributions,,,,25000,22000,40000,25000,25000,4
Revolving Fund,PRCR - Recreation,Tennis,Fees/Sales,,,,350000,355000,340000,360000,368000,4
Revolving Fund,PRCR - Recreation,Tennis Total,,,,,450000,467000,410000,410000,413000,3
Revolving Fund,PRCR - Recreation,Third Party Events,Approp From Prior Year,,,,10000,,,,,4
Revolving Fund,PRCR - Recreation,Third Party Events,Donations/Contributions,,,,5000,,,,,4
Revolving Fund,PRCR - Recreation,Third Party Events Total,,,,,15000,,,,,3
Revolving Fund,PRCR - Recreation,Tucker Mansion,Approp From Prior Year,,,,26000,16200,17000,10000,10000,4
Revolving Fund,PRCR - Recreation,Tucker Mansion,Fees/Sales,,,,10000,13800,14000,18000,25000,4
Revolving Fund,PRCR - Recreation,Tucker Mansion Total,,,,,36000,30000,31000,28000,35000,3
Revolving Fund,PRCR - Recreation,Vhip,Approp From Prior Year,,,,25000,40220,39000,50400,38000,4
Revolving Fund,PRCR - Recreation,Vhip,Donations/Contributions,,,,7500,25000,20000,17000,19000,4
Revolving Fund,PRCR - Recreation,Vhip Total,,,,,32500,65220,59000,67400,57000,3
Revolving Fund,PRCR - Recreation,Youth Programs,Approp From Prior Year,,,,105000,70000,50000,125000,200000,4
Revolving Fund,PRCR - Recreation,Youth Programs,Donations/Contributions,,,,,,131250,178000,175000,4
Revolving Fund,PRCR - Recreation,Youth Programs,Fees/Sales,,,,50000,175000,102750,140000,175000,4
Revolving Fund,PRCR - Recreation,Youth Programs Total,,,,,155000,245000,284000,443000,550000,3
Revolving Fund,PRCR - Recreation Total,,,,,,6833361,6951567,7365915,8122131,7685355,2
Revolving Fund,PRCR - Resources,Arts Commission,Approp From Prior Year,,,,,,,85535,85535,4
Revolving Fund,PRCR - Resources,Arts Commission Total,,,,,,,,85535,85535,3
Revolving Fund,PRCR - Resources Total,,,,,,,,,85535,85535,2
Revolving Fund,PRCR-Arts Office,Arts Commission,Approp From Prior Year,,,,6000,91535,85535,,,4
Revolving Fund,PRCR-Arts Office,Arts Commission Total,,,,,6000,91535,85535,,,3
Revolving Fund,PRCR-Arts Office Total,,,,,,6000,91535,85535,,,2
Revolving Fund,PRCR-Urban Trees,Neighborhood Street Trees,Approp From Prior Year,,,,,25000,20000,,,4
Revolving Fund,PRCR-Urban Trees,Neighborhood Street Trees,Donations/Contributions,,,,,10000,10000,,,4
Revolving Fund,PRCR-Urban Trees,Neighborhood Street Trees Total,,,,,,35000,30000,,,3
Revolving Fund,PRCR-Urban Trees Total,,,,,,,35000,30000,,,2
Revolving Fund,Public Affairs-RTN,Community Tv,Fees/Sales,,,,25000,,,,,4
Revolving Fund,Public Affairs-RTN,Community Tv Total,,,,,25000,,,,,3
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Approp From Prior Year,,,,9500,40000,335000,335000,335000,4
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Cablevision New Equip,,,,60000,100000,100000,100000,100000,4
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Fees/Sales,,,,,,,,13000,4
Revolving Fund,Public Affairs-RTN,Ctv Equipment Total,,,,,69500,140000,435000,435000,448000,3
Revolving Fund,Public Affairs-RTN Total,,,,,,94500,140000,435000,435000,448000,2
Revolving Fund,Solid Waste Admin,Sws-Landfill Gas Recovery,Approp From Prior Year,,,,400000,400000,,,,4
Revolving Fund,Solid Waste Admin,Sws-Landfill Gas Recovery Total,,,,,400000,400000,,,,3
Revolving Fund,Solid Waste Admin,Sws-Ldfill Gas Maint & Repair,Misc Revenues,,,,100000,,,,,4
Revolving Fund,Solid Waste Admin,Sws-Ldfill Gas Maint & Repair,Wglf Gas M&O Replenishment,,,,90820,,,,,4
Revolving Fund,Solid Waste Admin,Sws-Ldfill Gas Maint & Repair Total,,,,,190820,,,,,3
Revolving Fund,Solid Waste Admin,Wglf Maintenance & Repair,Misc Revenues,,,,,100000,,,,4
Revolving Fund,Solid Waste Admin,Wglf Maintenance & Repair,Wglf Gas M&O Replenishment,,,,,90820,,,,4
Revolving Fund,Solid Waste Admin,Wglf Maintenance & Repair Total,,,,,,190820,,,,3
Revolving Fund,Solid Waste Admin Total,,,,,,590820,590820,,,,2
Revolving Fund Total,,,,,,,8051655,8376794,8398434,9292916,8948458,1
Sewer Reuse/Infrastructure Fd,Non-Departmental,Non-Program Revenues,Sewer Infrastructure Replace,,,,,,,6112089,8535000,4
Sewer Reuse/Infrastructure Fd,Non-Departmental,Non-Program Revenues Total,,,,,,,,6112089,8535000,3
Sewer Reuse/Infrastructure Fd,Non-Departmental Total,,,,,,,,,6112089,8535000,2
Sewer Reuse/Infrastructure Fd Total,,,,,,,,,,6112089,8535000,1
Stormwater Utility Fund,Non-Departmental,Blank Program Code,Interest On Investments,,,,150000,,,,,4
Stormwater Utility Fund,Non-Departmental,Blank Program Code Total,,,,,150000,,,,,3
Stormwater Utility Fund,Non-Departmental,Non-Program Revenues,Fr 310 Public Utilities,,,,,180486,96622,29476,,4
Stormwater Utility Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,,,,,150000,300000,35000,25000,4
Stormwater Utility Fund,Non-Departmental,Non-Program Revenues Total,,,,,,330486,396622,64476,25000,3
Stormwater Utility Fund,Non-Departmental Total,,,,,,150000,330486,396622,64476,25000,2
Stormwater Utility Fund,Stormwater Management,Blank Program Code,Erosion Control Fees,,,,300000,,,,,4
Stormwater Utility Fund,Stormwater Management,Blank Program Code,Grading Review Fee,,,,100000,,,,,4
Stormwater Utility Fund,Stormwater Management,Blank Program Code,Illicit Discharge Fines (Wcpss,,,,10000,,,,,4
Stormwater Utility Fund,Stormwater Management,Blank Program Code,Soil Erosion Penalty (Wcpss 90,,,,50000,,,,,4
Stormwater Utility Fund,Stormwater Management,Blank Program Code,Stormwater Fees From City Dept,,,,383761,,,,,4
Stormwater Utility Fund,Stormwater Management,Blank Program Code,Stormwater Utility Fees,,,,14000000,,,,,4
Stormwater Utility Fund,Stormwater Management,Blank Program Code Total,,,,,14843761,,,,,3
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Approp From Prior Year,,,,,,,,400000,4
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Erosion Control Fees,,,,,300000,300000,420000,450000,4
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Fr 230 Self Insurance,,,,,,,54000,17440,4
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Grading Review Fee,,,,,100000,100000,130000,130000,4
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Illicit Discharge Fines (Wcpss,,,,,10000,10000,,,4
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Soil Erosion Penalty (Wcpss 90,,,,,50000,50000,20000,20000,4
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Stormwater Fees From City Dept,,,,,359045,407043,,,4
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Stormwater Utility Fees,,,,,14715000,14800000,16000000,16706248,4
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues Total,,,,,,15534045,15667043,16624000,17723688,3
Stormwater Utility Fund,Stormwater Management Total,,,,,,14843761,15534045,15667043,16624000,17723688,2
Stormwater Utility Fund Total,,,,,,,14993761,15864531,16063665,16688476,17748688,1
SWS Debt Service Fund,Solid Waste Admin,Non-Program Revenues,Fr 360 SWS for Debt Svc,,,,,,1582312,1545000,1516000,4
SWS Debt Service Fund,Solid Waste Admin,Non-Program Revenues,Misc Revenues,,,,,,521763,521000,522000,4
SWS Debt Service Fund,Solid Waste Admin,Non-Program Revenues Total,,,,,,,2104075,2066000,2038000,3
SWS Debt Service Fund,Solid Waste Admin Total,,,,,,,,2104075,2066000,2038000,2
SWS Debt Service Fund Total,,,,,,,,,2104075,2066000,2038000,1
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Approp From Prior Year,,,,,,,,500000,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Cbd Garbage Bag Sales,,,,,600,400,200,100,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Curbside Recycle Fees,,,,,738000,738000,750000,785280,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Drop Off Contract Recycle Rev,,,,,38440,39000,36000,26100,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Fr 230 Self Insurance,,,,,,,,113360,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Landfill Equip Resale,,,,,868503,791187,942398,1284654,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Misc Revenues,,,,,,,,50000,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Residential Recycling Fees,,,,,,5092745,5593536,5705407,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Residential Solid Waste Fees,,,,,17672932,13744058,15426200,16722267,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Solid Waste Disposal Tax Refun,,,,,275000,170000,,,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Special Loads & Chipper,,,,,37000,28000,28000,35000,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Sws - Additional Container Sal,,,,,20000,16600,16600,10000,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Sws Penalties (Wcpss 90%),,,,,300,65300,65000,15000,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Yardwaste Sales,,,,,277000,275000,200000,150000,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues,Yardwaste Tip Fees,,,,,250000,270000,287500,487500,4
SWS Operating Fund,Solid Waste Admin,Non-Program Revenues Total,,,,,,20177775,21230290,23345434,25884668,3
SWS Operating Fund,Solid Waste Admin,SWS-Administration,Fr 100 General Fd,,,,,11380030,11020702,11628083,9890508,4
SWS Operating Fund,Solid Waste Admin,SWS-Administration Total,,,,,,11380030,11020702,11628083,9890508,3
SWS Operating Fund,Solid Waste Admin Total,,,,,,,31557805,32250992,34973517,35775176,2
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-WGLF Maint & Repair,Approp From Special Reserve,,,,,,300000,300000,300000,4
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-WGLF Maint & Repair,Landfill Gas Rec Fee,,,,,,25000,25000,,4
SWS Operating Fund,Solid Waste Yardwaste Ctr,SWS-WGLF Maint & Repair Total,,,,,,,325000,325000,300000,3
SWS Operating Fund,Solid Waste Yardwaste Ctr Total,,,,,,,,325000,325000,300000,2
SWS Operating Fund Total,,,,,,,,31557805,32575992,35298517,36075176,1
