Fund,Department,Program / Account Type,Account Description,Current,Amount,Revenue
Housing Development-Projects,Community Development,Non Program Expenditures,Interfund Transfers In/Out,-500000,,FALSE
Parking Debt Service Fund,Treasury Office,DTW OPS 8/13 LOBS,Capital Project Expense,787337,787337,FALSE
Parking Debt Service Fund,Treasury Office,Hghwds/Rbc/Prog Egy Deck Cops,Capital Project Expense,6375,650375,FALSE
Parking Debt Service Fund,Treasury Office,Non Program Expenditures,Capital Project Expense,-374671,4329,FALSE
Parking Debt Service Fund,Treasury Office,Parking Debt Svc,Capital Project Expense,-144929,397071,FALSE
Parking Debt Service Fund,Treasury Office,Parking Debt Svc,Direct Expenses,0,380000,FALSE
Parking Debt Service Fund,Treasury Office,Parking Debt Svc,Interfund Transfers In/Out,0,140000,FALSE
Parking Debt Service Fund,Treasury Office,Progress Energy Deck,Capital Project Expense,-787000,,FALSE
Parking Debt Service Fund,Treasury Office,Ser 2009 Refunding LOB,Capital Project Expense,-19300,686700,FALSE
Parking Debt Service Fund,Treasury Office,Undergrd Deck Cops Ser 2005A,Capital Project Expense,-172675,1656325,FALSE
Parking Debt Service Fund,Treasury Office,Upd Addtl Cost-Ser 2007 Cops,Capital Project Expense,-3137,1030863,FALSE
Parking Debt Service Fund,Treasury Office,Upd Site 1 Cops-(Ph Ii),Capital Project Expense,8000,1292000,FALSE
Parking Facilities Fund-Operat,Parking Operations,Convention Deck,Direct Expenses,6751.05,311300,FALSE
Parking Facilities Fund-Operat,Parking Operations,Convention Deck,Employee Benefits,133.94,9935.7,FALSE
Parking Facilities Fund-Operat,Parking Operations,Convention Deck,Interfund Transfers In/Out,150,4650,FALSE
Parking Facilities Fund-Operat,Parking Operations,Convention Deck,Salaries and Wages,530.77,30690.52,FALSE
Parking Facilities Fund-Operat,Parking Operations,Downtown Maint-Parking,Direct Expenses,1495259.3,4445258,FALSE
Parking Facilities Fund-Operat,Parking Operations,Downtown Maint-Parking,Employee Benefits,371.2,122973.87,FALSE
Parking Facilities Fund-Operat,Parking Operations,Downtown Maint-Parking,Interfund Transfers In/Out,321823,9257307,FALSE
Parking Facilities Fund-Operat,Parking Operations,Downtown Maint-Parking,Miscellaneous,0,192100,FALSE
Parking Facilities Fund-Operat,Parking Operations,Downtown Maint-Parking,Other Expense,728,139135,FALSE
Parking Facilities Fund-Operat,Parking Operations,Downtown Maint-Parking,Salaries and Wages,1964.2,407135.93,FALSE
Parking Facilities Fund-Operat,Parking Operations,On Street Parking,Capital Equipment,-26510,1500,FALSE
Parking Facilities Fund-Operat,Parking Operations,On Street Parking,Direct Expenses,32083.71,1388381.71,FALSE
Parking Facilities Fund-Operat,Parking Operations,On Street Parking,Employee Benefits,10838.33,364385.85,FALSE
Parking Facilities Fund-Operat,Parking Operations,On Street Parking,Miscellaneous,0,39400,FALSE
Parking Facilities Fund-Operat,Parking Operations,On Street Parking,Other Expense,-2000,41500,FALSE
Parking Facilities Fund-Operat,Parking Operations,On Street Parking,Salaries and Wages,-4836.43,798097.93,FALSE
Parking Facilities Fund-Operat,Parking Operations,Parking Operations,Direct Expenses,50,5250,FALSE
Parking Facilities Fund-Operat,Parking Operations,Parking Operations,Employee Benefits,-4918.77,60908.31,FALSE
Parking Facilities Fund-Operat,Parking Operations,Parking Operations,Interfund Transfers In/Out,5588,5588,FALSE
Parking Facilities Fund-Operat,Parking Operations,Parking Operations,Miscellaneous,150,4750,FALSE
Parking Facilities Fund-Operat,Parking Operations,Parking Operations,Salaries and Wages,-5765.93,219366.89,FALSE
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Operations,Direct Expenses,62187.65,7794067.65,FALSE
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Operations,Employee Benefits,19442.2,101154.99,FALSE
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Operations,Miscellaneous,-1250,,FALSE
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Operations,Other Expense,4575,11014,FALSE
Public Transit Fund-Operating,Accessible Raleigh Transit,Other Operations,Salaries and Wages,17412.8,256113.27,FALSE
Public Transit Fund-Operating,Transit Operations,Other Operations,Direct Expenses,47361.26,1415903,FALSE
Public Transit Fund-Operating,Transit Operations,Other Operations,Employee Benefits,2901.77,75076.24,FALSE
Public Transit Fund-Operating,Transit Operations,Other Operations,Interfund Transfers In/Out,241754,816853,FALSE
Public Transit Fund-Operating,Transit Operations,Other Operations,Miscellaneous,1627970,18587689,FALSE
Public Transit Fund-Operating,Transit Operations,Other Operations,Other Expense,-44505,25697,FALSE
Public Transit Fund-Operating,Transit Operations,Other Operations,Salaries and Wages,6459.98,180755.75,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Adm-Public Utilities,Capital Equipment,10000,10000,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Adm-Public Utilities,Direct Expenses,4431,39397,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Adm-Public Utilities,Employee Benefits,56517.24,242487.93,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Adm-Public Utilities,Miscellaneous,8000,54500,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Adm-Public Utilities,Salaries and Wages,170860.85,982954.13,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Dev & Planning Review-PU,Employee Benefits,131180.6,131180.6,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Dev & Planning Review-PU,Salaries and Wages,470655.61,470655.61,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,PUD-Geographic Info System,Employee Benefits,-2900.6,92132.28,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,PUD-Geographic Info System,Salaries and Wages,9523.3,291270.08,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Utilities Insp & Rehab,Direct Expenses,13870,159559,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Utilities Insp & Rehab,Employee Benefits,29203.06,262316.27,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Utilities Insp & Rehab,Miscellaneous,0,7000,FALSE
Public Utilities Fund,PU Capital Improvement Mgmt,Utilities Insp & Rehab,Salaries and Wages,78184.18,843627.88,FALSE
Public Utilities Fund,PU Facilities Support,Remote Facility Maint-Pu,Direct Expenses,0,217000,FALSE
Public Utilities Fund,PU Facilities Support,Remote Facility Maint-Pu,Employee Benefits,15168.84,41866.62,FALSE
Public Utilities Fund,PU Facilities Support,Remote Facility Maint-Pu,Miscellaneous,0,2046,FALSE
Public Utilities Fund,PU Facilities Support,Remote Facility Maint-Pu,Salaries and Wages,37102.47,119295.47,FALSE
Public Utilities Fund,PU Facilities Support,Warehouse & Support,Capital Equipment,8000,8000,FALSE
Public Utilities Fund,PU Facilities Support,Warehouse & Support,Direct Expenses,-9953,1486221,FALSE
Public Utilities Fund,PU Facilities Support,Warehouse & Support,Employee Benefits,-4401.87,165757.72,FALSE
Public Utilities Fund,PU Facilities Support,Warehouse & Support,Miscellaneous,2000,30500,FALSE
Public Utilities Fund,PU Facilities Support,Warehouse & Support,Salaries and Wages,20462.11,513243.32,FALSE
Public Utilities Fund,PU Meters,Meter Reading,Direct Expenses,-32000,128720,FALSE
Public Utilities Fund,PU Meters,Meter Reading,Employee Benefits,19302.48,104911.4,FALSE
Public Utilities Fund,PU Meters,Meter Reading,Salaries and Wages,32594.2,367557.49,FALSE
Public Utilities Fund,PU Meters,PUD-Regulatory Affair & Enforc,Direct Expenses,25000,56500,FALSE
Public Utilities Fund,PU Meters,PUD-Regulatory Affair & Enforc,Employee Benefits,-38704.33,51329.56,FALSE
Public Utilities Fund,PU Meters,PUD-Regulatory Affair & Enforc,Miscellaneous,0,6000,FALSE
Public Utilities Fund,PU Meters,PUD-Regulatory Affair & Enforc,Salaries and Wages,-88067.42,176849.04,FALSE
Public Utilities Fund,PU Meters,Supervision-Pub Util,Direct Expenses,-30401,89462,FALSE
Public Utilities Fund,PU Meters,Supervision-Pub Util,Employee Benefits,84667.83,333954.18,FALSE
Public Utilities Fund,PU Meters,Supervision-Pub Util,Miscellaneous,-4000,37327,FALSE
Public Utilities Fund,PU Meters,Supervision-Pub Util,Salaries and Wages,222842.77,976566.52,FALSE
Public Utilities Fund,PU Meters,Water Meter Repairs,Capital Equipment,0,10000,FALSE
Public Utilities Fund,PU Meters,Water Meter Repairs,Direct Expenses,67917,861101,FALSE
Public Utilities Fund,PU Meters,Water Meter Repairs,Employee Benefits,-11902.35,698067.26,FALSE
Public Utilities Fund,PU Meters,Water Meter Repairs,Salaries and Wages,-20127.3,2017104.06,FALSE
Public Utilities Fund,PU Sewer Maintenance,Supervision-Pub Util,Capital Equipment,-2400,,FALSE
Public Utilities Fund,PU Sewer Maintenance,Supervision-Pub Util,Direct Expenses,45689,784629,FALSE
Public Utilities Fund,PU Sewer Maintenance,Supervision-Pub Util,Employee Benefits,14760.9,158928.04,FALSE
Public Utilities Fund,PU Sewer Maintenance,Supervision-Pub Util,Miscellaneous,39000,170000,FALSE
Public Utilities Fund,PU Sewer Maintenance,Supervision-Pub Util,Salaries and Wages,51540.9,510312.47,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Cleaning/Maint,Capital Equipment,-39000,,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Cleaning/Maint,Direct Expenses,349298,1326062,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Cleaning/Maint,Employee Benefits,18976.32,452511.31,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Cleaning/Maint,Salaries and Wages,74616.85,1360029.3,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Const Mgmt,Capital Equipment,-21500,14200,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Const Mgmt,Direct Expenses,34104,1165033,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Const Mgmt,Employee Benefits,49417.13,302736.78,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Const Mgmt,Salaries and Wages,137361.96,911400.5,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Insp & Rehab,Capital Equipment,800,54000,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Insp & Rehab,Direct Expenses,50500,231648,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Insp & Rehab,Employee Benefits,-32715.89,84235.68,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Insp & Rehab,Salaries and Wages,-68671.83,272927.2,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Maint/Repair,Capital Equipment,-21700,12800,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Maint/Repair,Direct Expenses,60026,676143,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Maint/Repair,Employee Benefits,11456.23,246177.36,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Maint/Repair,Interfund Transfers In/Out,15000,40000,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Maint/Repair,Salaries and Wages,-1787.91,673627.35,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Repair Program,Capital Equipment,1250,69800,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Repair Program,Direct Expenses,173790,330180,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Repair Program,Employee Benefits,6897.95,361807.95,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Repair Program,Interfund Transfers In/Out,75000,515000,FALSE
Public Utilities Fund,PU Sewer Maintenance,Utilities Repair Program,Salaries and Wages,69479.95,1007079.26,FALSE
Public Utilities Fund,PU Sewer Maintenance,Water/Sewer Joint Svcs,Capital Equipment,0,17000,FALSE
Public Utilities Fund,PU Sewer Maintenance,Water/Sewer Joint Svcs,Direct Expenses,-22740,44000,FALSE
Public Utilities Fund,PU Sewer Maintenance,Water/Sewer Joint Svcs,Employee Benefits,3443.24,64023.13,FALSE
Public Utilities Fund,PU Sewer Maintenance,Water/Sewer Joint Svcs,Interfund Transfers In/Out,-15000,60000,FALSE
Public Utilities Fund,PU Sewer Maintenance,Water/Sewer Joint Svcs,Salaries and Wages,7688.15,157844.04,FALSE
Public Utilities Fund,PU Utility Billing,PUD-Billing Services,Direct Expenses,44661,1733141,FALSE
Public Utilities Fund,PU Utility Billing,PUD-Billing Services,Employee Benefits,-8450.59,786510.51,FALSE
Public Utilities Fund,PU Utility Billing,PUD-Billing Services,Miscellaneous,29200,819775,FALSE
Public Utilities Fund,PU Utility Billing,PUD-Billing Services,Salaries and Wages,176452.09,2557472.01,FALSE
Public Utilities Fund,PU Water Distribution,Hydrant Mgmt-Pub Util,Capital Equipment,-10000,10000,FALSE
Public Utilities Fund,PU Water Distribution,Hydrant Mgmt-Pub Util,Direct Expenses,164810,285610,FALSE
Public Utilities Fund,PU Water Distribution,Hydrant Mgmt-Pub Util,Employee Benefits,-3716.6,130244.03,FALSE
Public Utilities Fund,PU Water Distribution,Hydrant Mgmt-Pub Util,Salaries and Wages,-18269.29,396771.37,FALSE
Public Utilities Fund,PU Water Distribution,PUD-ER Remote Facility,Capital Equipment,-6700,12000,FALSE
Public Utilities Fund,PU Water Distribution,PUD-ER Remote Facility,Direct Expenses,84009,451847,FALSE
Public Utilities Fund,PU Water Distribution,PUD-ER Remote Facility,Employee Benefits,-25894.08,133832.46,FALSE
Public Utilities Fund,PU Water Distribution,PUD-ER Remote Facility,Salaries and Wages,-95961.73,394969.01,FALSE
Public Utilities Fund,PU Water Distribution,PUD-LW Remote Facility,Capital Equipment,15000,50000,FALSE
Public Utilities Fund,PU Water Distribution,PUD-LW Remote Facility,Direct Expenses,548352,1723910,FALSE
Public Utilities Fund,PU Water Distribution,PUD-LW Remote Facility,Employee Benefits,19827.84,330257.28,FALSE
Public Utilities Fund,PU Water Distribution,PUD-LW Remote Facility,Interfund Transfers In/Out,720000,1500000,FALSE
Public Utilities Fund,PU Water Distribution,PUD-LW Remote Facility,Salaries and Wages,51985,1095925.2,FALSE
Public Utilities Fund,PU Water Distribution,PUD-NR Remote Facility,Capital Equipment,-14000,24590,FALSE
Public Utilities Fund,PU Water Distribution,PUD-NR Remote Facility,Direct Expenses,112245,480035,FALSE
Public Utilities Fund,PU Water Distribution,PUD-NR Remote Facility,Employee Benefits,64810.04,206972.74,FALSE
Public Utilities Fund,PU Water Distribution,PUD-NR Remote Facility,Salaries and Wages,200320.33,658665.96,FALSE
Public Utilities Fund,PU Water Distribution,PUD-Regulatory Affair & Enforc,Direct Expenses,0,2000,FALSE
Public Utilities Fund,PU Water Distribution,PUD-Regulatory Affair & Enforc,Employee Benefits,69003.88,69003.88,FALSE
Public Utilities Fund,PU Water Distribution,PUD-Regulatory Affair & Enforc,Salaries and Wages,164534.18,164534.18,FALSE
Public Utilities Fund,PU Water Distribution,Supervision-Pub Util,Capital Equipment,-15000,26000,FALSE
Public Utilities Fund,PU Water Distribution,Supervision-Pub Util,Direct Expenses,-250128,277323,FALSE
Public Utilities Fund,PU Water Distribution,Supervision-Pub Util,Employee Benefits,8196.14,217988.47,FALSE
Public Utilities Fund,PU Water Distribution,Supervision-Pub Util,Miscellaneous,0,120649,FALSE
Public Utilities Fund,PU Water Distribution,Supervision-Pub Util,Salaries and Wages,-9994.28,791325.78,FALSE
Public Utilities Fund,PU Water Distribution,Utility Asset ID,Capital Equipment,-6500,500,FALSE
Public Utilities Fund,PU Water Distribution,Utility Asset ID,Direct Expenses,60125,67625,FALSE
Public Utilities Fund,PU Water Distribution,Utility Asset ID,Employee Benefits,34274.3,139909.57,FALSE
Public Utilities Fund,PU Water Distribution,Utility Asset ID,Salaries and Wages,78813.26,391729.1,FALSE
Public Utilities Fund,PU Water Distribution,Valve Exercise & Maint,Capital Equipment,0,20000,FALSE
Public Utilities Fund,PU Water Distribution,Valve Exercise & Maint,Direct Expenses,45000,115100,FALSE
Public Utilities Fund,PU Water Distribution,Valve Exercise & Maint,Employee Benefits,5502.2,97925.62,FALSE
Public Utilities Fund,PU Water Distribution,Valve Exercise & Maint,Salaries and Wages,27581.88,308030.85,FALSE
Public Utilities Fund,PU Water Distribution,Water/Sewer Joint Svcs,Capital Equipment,12000,12000,FALSE
Public Utilities Fund,PU Water Distribution,Water/Sewer Joint Svcs,Direct Expenses,162746,186264,FALSE
Public Utilities Fund,PU Water Distribution,Water/Sewer Joint Svcs,Employee Benefits,-3618.26,255092.95,FALSE
Public Utilities Fund,PU Water Distribution,Water/Sewer Joint Svcs,Salaries and Wages,53034.22,803884.06,FALSE
Public Utilities Fund,PU Water Plant,DEB Wrenn Rd Spray Irrigation,Capital Equipment,3000,3000,FALSE
Public Utilities Fund,PU Water Plant,DEB Wrenn Rd Spray Irrigation,Direct Expenses,108078,108078,FALSE
Public Utilities Fund,PU Water Plant,DEB Wrenn Rd Spray Irrigation,Employee Benefits,73795.37,73795.37,FALSE
Public Utilities Fund,PU Water Plant,DEB Wrenn Rd Spray Irrigation,Miscellaneous,2000,2000,FALSE
Public Utilities Fund,PU Water Plant,DEB Wrenn Rd Spray Irrigation,Salaries and Wages,209592.68,209592.68,FALSE
Public Utilities Fund,PU Water Plant,DEB WTP Maintenance,Employee Benefits,112205.4,112205.4,FALSE
Public Utilities Fund,PU Water Plant,DEB WTP Maintenance,Salaries and Wages,315990.5,315990.5,FALSE
Public Utilities Fund,PU Water Plant,DEB WTP Operations,Employee Benefits,206405.11,206405.11,FALSE
Public Utilities Fund,PU Water Plant,DEB WTP Operations,Salaries and Wages,552016.97,552016.97,FALSE
Public Utilities Fund,PU Water Plant,Laboratories-Pub Util,Capital Equipment,-6000,35000,FALSE
Public Utilities Fund,PU Water Plant,Laboratories-Pub Util,Direct Expenses,2006,993244,FALSE
Public Utilities Fund,PU Water Plant,Laboratories-Pub Util,Employee Benefits,11162.38,146549.78,FALSE
Public Utilities Fund,PU Water Plant,Laboratories-Pub Util,Salaries and Wages,47237.16,541835.97,FALSE
Public Utilities Fund,PU Water Plant,Plant Maintenance-Pub Util,Capital Equipment,0,53000,FALSE
Public Utilities Fund,PU Water Plant,Plant Maintenance-Pub Util,Direct Expenses,-10366,2261980,FALSE
Public Utilities Fund,PU Water Plant,Plant Maintenance-Pub Util,Employee Benefits,16995.5,265047.76,FALSE
Public Utilities Fund,PU Water Plant,Plant Maintenance-Pub Util,Miscellaneous,0,20000,FALSE
Public Utilities Fund,PU Water Plant,Plant Maintenance-Pub Util,Salaries and Wages,13261.5,836085.76,FALSE
Public Utilities Fund,PU Water Plant,Process/Oper-Pub Util,Capital Equipment,0,10600,FALSE
Public Utilities Fund,PU Water Plant,Process/Oper-Pub Util,Direct Expenses,-19915,6492463,FALSE
Public Utilities Fund,PU Water Plant,Process/Oper-Pub Util,Employee Benefits,3789.7,185243.85,FALSE
Public Utilities Fund,PU Water Plant,Process/Oper-Pub Util,Miscellaneous,0,36000,FALSE
Public Utilities Fund,PU Water Plant,Process/Oper-Pub Util,Other Expense,0,800000,FALSE
Public Utilities Fund,PU Water Plant,Process/Oper-Pub Util,Salaries and Wages,30157.22,647338.74,FALSE
Public Utilities Fund,PU Water Plant,Pud-DEB WTP Admin,Capital Equipment,0,80500,FALSE
Public Utilities Fund,PU Water Plant,Pud-DEB WTP Admin,Direct Expenses,57129,2632678,FALSE
Public Utilities Fund,PU Water Plant,Pud-DEB WTP Admin,Employee Benefits,-292443.99,78151.4,FALSE
Public Utilities Fund,PU Water Plant,Pud-DEB WTP Admin,Miscellaneous,0,22000,FALSE
Public Utilities Fund,PU Water Plant,Pud-DEB WTP Admin,Salaries and Wages,-783067.67,293111.28,FALSE
Public Utilities Fund,PU Water Plant,PUD-Remote Water Quality,Capital Equipment,-60000,30000,FALSE
Public Utilities Fund,PU Water Plant,PUD-Remote Water Quality,Direct Expenses,18751,149317,FALSE
Public Utilities Fund,PU Water Plant,PUD-Remote Water Quality,Employee Benefits,562.63,113968.3,FALSE
Public Utilities Fund,PU Water Plant,PUD-Remote Water Quality,Salaries and Wages,36343.72,349014.93,FALSE
Public Utilities Fund,PU Water Plant,Sludge Disp-Pub Util,Capital Equipment,0,46000,FALSE
Public Utilities Fund,PU Water Plant,Sludge Disp-Pub Util,Direct Expenses,1039,556188,FALSE
Public Utilities Fund,PU Water Plant,Sludge Disp-Pub Util,Employee Benefits,-7951.32,101739.61,FALSE
Public Utilities Fund,PU Water Plant,Sludge Disp-Pub Util,Miscellaneous,0,10000,FALSE
Public Utilities Fund,PU Water Plant,Sludge Disp-Pub Util,Salaries and Wages,-32580.26,287097.97,FALSE
Public Utilities Fund,PU Water Plant,Supervision-Pub Util,Direct Expenses,8988,162927,FALSE
Public Utilities Fund,PU Water Plant,Supervision-Pub Util,Employee Benefits,-4841.36,216905.56,FALSE
Public Utilities Fund,PU Water Plant,Supervision-Pub Util,Miscellaneous,0,20000,FALSE
Public Utilities Fund,PU Water Plant,Supervision-Pub Util,Salaries and Wages,-18662.53,745201.45,FALSE
Public Utilities Fund,Public Utilities Admin,Adm-Public Utilities,Capital Equipment,0,17500,FALSE
Public Utilities Fund,Public Utilities Admin,Adm-Public Utilities,Direct Expenses,3613,2669650.2,FALSE
Public Utilities Fund,Public Utilities Admin,Adm-Public Utilities,Employee Benefits,-163988.38,357499.21,FALSE
Public Utilities Fund,Public Utilities Admin,Adm-Public Utilities,Interfund Transfers In/Out,0,15230,FALSE
Public Utilities Fund,Public Utilities Admin,Adm-Public Utilities,Miscellaneous,10000,848500,FALSE
Public Utilities Fund,Public Utilities Admin,Adm-Public Utilities,Salaries and Wages,-575615.78,1487189.21,FALSE
Public Utilities Fund,Public Utilities Admin,Dev & Planning Review-PU,Direct Expenses,1000,1000,FALSE
Public Utilities Fund,Public Utilities Admin,Dev & Planning Review-PU,Miscellaneous,5000,5000,FALSE
Public Utilities Fund,Public Utilities Admin,Employee Development,Direct Expenses,103653,150419,FALSE
Public Utilities Fund,Public Utilities Admin,Employee Development,Employee Benefits,71230.38,113108.77,FALSE
Public Utilities Fund,Public Utilities Admin,Employee Development,Miscellaneous,3000,158000,FALSE
Public Utilities Fund,Public Utilities Admin,Employee Development,Salaries and Wages,229079.1,389571.95,FALSE
Public Utilities Fund,Public Utilities Admin,Employee Gain Sharing,Direct Expenses,0,15000,FALSE
Public Utilities Fund,Public Utilities Admin,Marketing & Communication-PU,Direct Expenses,14900,14900,FALSE
Public Utilities Fund,Public Utilities Admin,Marketing & Communication-PU,Employee Benefits,32169.33,32169.33,FALSE
Public Utilities Fund,Public Utilities Admin,Marketing & Communication-PU,Miscellaneous,1500,1500,FALSE
Public Utilities Fund,Public Utilities Admin,Marketing & Communication-PU,Salaries and Wages,134811.12,134811.12,FALSE
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Interfund Transfers In/Out,0,5000,FALSE
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Other Expense,0,5000,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Environmental Mgmt.,Direct Expenses,-2963,19582,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Environmental Mgmt.,Employee Benefits,3325.37,113110.68,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Environmental Mgmt.,Salaries and Wages,37702.43,414014.31,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Regulatory Affair & Enforc,Direct Expenses,-2633,4309,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Regulatory Affair & Enforc,Employee Benefits,4530.41,66468.62,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Regulatory Affair & Enforc,Miscellaneous,3000,3000,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Regulatory Affair & Enforc,Salaries and Wages,17205.59,248238.91,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Technology Application Grp,Direct Expenses,75000,312500,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Technology Application Grp,Employee Benefits,13775.98,54728.63,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Technology Application Grp,Miscellaneous,10000,35000,FALSE
Public Utilities Fund,Public Utilities Admin,PUD-Technology Application Grp,Salaries and Wages,44347.37,190292.79,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Lower Neuse Basin Assoc,Other Expense,0,135000,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Reimbursement Contracts,Capital Project Expense,0,10000,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Residential Backflow Loan Prog,Direct Expenses,0,6000,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Special Approp-Utilities,Direct Expenses,-13586008.73,6309991.56,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Special Approp-Utilities,Employee Benefits,-106788,2222034.97,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Special Approp-Utilities,Interfund Transfers In/Out,37993793,132944393,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Special Approp-Utilities,Other Expense,41151,2397431,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Special Approp-Utilities,Salaries and Wages,0,900000,FALSE
Public Utilities Fund,Public Utilities-Spec Appropri,Upper Neuse Basin Assoc,Other Expense,0,120000,FALSE
Public Utilities Fund,Resource Recovery,DEB Wrenn Rd Spray Irrigation,Capital Equipment,-3000,,FALSE
Public Utilities Fund,Resource Recovery,DEB Wrenn Rd Spray Irrigation,Direct Expenses,-177346,5090,FALSE
Public Utilities Fund,Resource Recovery,DEB Wrenn Rd Spray Irrigation,Employee Benefits,-69568.65,,FALSE
Public Utilities Fund,Resource Recovery,DEB Wrenn Rd Spray Irrigation,Miscellaneous,-2000,,FALSE
Public Utilities Fund,Resource Recovery,DEB Wrenn Rd Spray Irrigation,Salaries and Wages,-197240.53,,FALSE
Public Utilities Fund,Resource Recovery,Laboratories-Pub Util,Capital Equipment,-56000,25000,FALSE
Public Utilities Fund,Resource Recovery,Laboratories-Pub Util,Direct Expenses,21228,299126,FALSE
Public Utilities Fund,Resource Recovery,Laboratories-Pub Util,Employee Benefits,4792.53,166440.23,FALSE
Public Utilities Fund,Resource Recovery,Laboratories-Pub Util,Salaries and Wages,12246.27,584103.23,FALSE
Public Utilities Fund,Resource Recovery,Plant Maintenance-Pub Util,Capital Equipment,-10000,87000,FALSE
Public Utilities Fund,Resource Recovery,Plant Maintenance-Pub Util,Direct Expenses,-9096,1467804,FALSE
Public Utilities Fund,Resource Recovery,Plant Maintenance-Pub Util,Employee Benefits,25016.25,287054.92,FALSE
Public Utilities Fund,Resource Recovery,Plant Maintenance-Pub Util,Salaries and Wages,71927.09,965103.88,FALSE
Public Utilities Fund,Resource Recovery,Process/Oper-Pub Util,Direct Expenses,-129658,5985636,FALSE
Public Utilities Fund,Resource Recovery,Process/Oper-Pub Util,Employee Benefits,3630.97,305267.84,FALSE
Public Utilities Fund,Resource Recovery,Process/Oper-Pub Util,Miscellaneous,15033,205033,FALSE
Public Utilities Fund,Resource Recovery,Process/Oper-Pub Util,Salaries and Wages,21072.37,1025274.8,FALSE
Public Utilities Fund,Resource Recovery,PUD-Regulatory Affair & Enforc,Direct Expenses,18000,40000,FALSE
Public Utilities Fund,Resource Recovery,PUD-Regulatory Affair & Enforc,Employee Benefits,235.46,25788.25,FALSE
Public Utilities Fund,Resource Recovery,PUD-Regulatory Affair & Enforc,Miscellaneous,0,10000,FALSE
Public Utilities Fund,Resource Recovery,PUD-Regulatory Affair & Enforc,Salaries and Wages,1647.98,91407.53,FALSE
Public Utilities Fund,Resource Recovery,Pud-Wf Smith Crk Wwtp,Capital Equipment,0,5000,FALSE
Public Utilities Fund,Resource Recovery,Pud-Wf Smith Crk Wwtp,Direct Expenses,-6012,450692,FALSE
Public Utilities Fund,Resource Recovery,Pud-Wf Smith Crk Wwtp,Employee Benefits,-8062.96,95760.9,FALSE
