Fund,Department,Division,Account,Amount,Current,Revenue,Annotation
General Fund,Police Administrative Services,Employee Benefits,Medicare,2152.12,55926.6,false,0
General Fund,Public Affairs,Employee Benefits,Retirement,3483.26,56061.51,false,0
General Fund,PRCR - F&O - Park Fac Maint,Direct Expenses,Vehicle Maint & Operation,2700,56232.76,false,0
General Fund,Development Services,Salaries and Wages,Longevity,9564.28,56298.38,false,0
Revolving Fund,PRCR - Recreation,Miscellaneous,Purchases For Resale,10710.41,56300,false,0
General Fund,PRCR - Resources,Employee Benefits,Supplemental Retirement,-3591.38,56343.3,false,0
Public Utilities Fund,PU Water Plant,Employee Benefits,Dental Insurance,13905.82,56378.68,false,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Photocopy Maint,0,56407.12,false,0
General Fund,Budget & Management Services,Employee Benefits,Social Security,-24277.89,56559.75,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Direct Expenses,Equipment Usage Charge,12484,57448,false,0
Community Dev Block Grant,Community Development,Direct Expenses,Building Demolition,-77355,57500,false,0
General Fund,Police Special Operations,Employee Benefits,Dental Insurance,12236.08,57522.36,false,0
General Fund,Police Special Operations,Salaries and Wages,Longevity,6072.53,57596.09,false,0
Grants Fund,Public Works-Transportaion,Employee Benefits,Health Insurance,57600,57600,false,0
General Fund,Fire Adm,Capital Equipment,Communications Equip,0,57800,false,0
General Fund,Information Technology Admin,Direct Expenses,Computer Operations & Access,-19965,57800,false,0
General Fund,Inspections,Employee Benefits,Medicare,7278.93,57858.26,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Motor Fuels & Lubricants,31500,57959.54,false,0
General Fund,Emergency Communications,Employee Benefits,Retirement Temp,0,58096.51,false,0
General Fund,Human Resources,Direct Expenses,Medical Services,0,58150,false,0
General Fund,Planning,Direct Expenses,Computer Lease,950,58342,false,0
General Fund,Information Technology Admin,Employee Benefits,Retirement,17375.23,58512.33,false,0
General Fund,Public Affairs-RTN,Employee Benefits,Health Insurance,6588,58524,false,0
Public Utilities Fund,PU Water Plant,Salaries and Wages,Salaries-Pt Temp/Seasonal,7786,58536,false,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Office Supplies,3356.03,58573,false,0
Public Utilities Fund,Public Utilities-Spec Appropri,Employee Benefits,Medicare Supplement,6300,58700,false,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Direct Expenses,Rental-Equipment,14000,59000,false,0
Rcc/Pac Operations Fund,RCC Facility,Other Expense,To Isf-Sir Workers Comp,-12182,59479,false,0
Public Utilities Fund,Public Utilities Admin,Employee Benefits,Supplemental Retirement,-15005.6,59555.2,false,0
General Fund,IT Application Support,Employee Benefits,Supplemental Retirement,3761.44,59614.05,false,0
Public Utilities Fund,PU Sewer Maintenance,Direct Expenses,Repairs-Other Equip,5500,59625,false,0
General Fund,Public Works,Other Expense,To ISF-Prop/Liab Claims,1000,59628,false,0
General Fund,Public Works,Employee Benefits,Dental Insurance,12677.44,59796.64,false,0
General Fund,Stormwater Street Maintenance,Salaries and Wages,Salaries-Ot For Ft Staff,-15000,60000,false,0
Public Utilities Fund,PU Sewer Maintenance,Direct Expenses,Chemicals,8750,60000,false,0
Public Utilities Fund,PU Sewer Maintenance,Interfund Transfers In/Out,To 100 Reimb Water St Cuts,-380000,60000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Other Expense,RCC/PAC Labor Expense,10000,60000,false,0
Revolving Fund,PRCR - Parks - Urban Trees,Direct Expenses,Landscape/Grounds Maint Suppli,-3000,60000,false,0
SWS Operating Fund,Solid Waste Recycling,Direct Expenses,Operational & Maint Supplies,-3000,60000,false,0
SWS Operating Fund,Solid Waste Residential Collec,Salaries and Wages,Salary Reserve,60000,60000,false,0
Revolving Fund,PRCR - Parks - Urban Trees,Neighborhood Street Trees,Donations/Contributions,44144,60000,true,0
Revolving Fund,PRCR - Recreation,Adventure Camps,Approp From Prior Year,-8000,60000,true,0
Revolving Fund,PRCR - Recreation,Golden Years,Approp From Prior Year,0,60000,true,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Employee Benefits,Health Insurance,14541.12,60033.12,false,0
Revolving Fund,Fire Training,Direct Expenses,Operational & Maint Supplies,-3200,60060,false,0
Public Utilities Fund,Resource Recovery,Employee Benefits,Dental Insurance,8315.72,60421.84,false,0
Public Utilities Fund,PU Water Distribution,Salaries and Wages,Salary Reserve,0,60474,false,0
General Fund,Budget & Management Services,Employee Benefits,Health Insurance,-48746.88,60549.12,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,Salaries-Pt Temp/Seasonal,600,60600,false,0
General Fund,IT Strategy & Planning,Employee Benefits,Retirement,-709.41,60960.23,false,0
Public Utilities Fund,PU Water Distribution,Employee Benefits,Dental Insurance,12337.24,61153.6,false,0
General Fund,Human Resources,Salaries and Wages,Salaries-Pt Temp/Seasonal,609,61509,false,0
SWS Operating Fund,Solid Waste Residential Collec,Salaries and Wages,Longevity,5405.51,61533.29,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,To ISF-Prop/Liab Premium,5189,61856,false,0
General Fund,Community Svcs,Direct Expenses,Operational & Maint Supplies,5865,61876,false,0
General Fund,Emergency Communications,Employee Benefits,Dental Insurance,9935.92,62107.44,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Employee Benefits,Health Insurance,3072,62124,false,0
General Fund,PRCR - Parks - Urban Trees,Direct Expenses,Motor Fuels & Lubricants,7273,62127,false,0
General Fund,Construction Mgmt,Employee Benefits,Social Security,4592.65,62261.27,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Natural Gas Svc,27052.36,62348.53,false,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Landscape/Grounds Maint Suppli,2900,62400,false,0
Public Utilities Fund,Resource Recovery,Direct Expenses,Rental-Equipment,3600,62500,false,0
SWS Operating Fund,Solid Waste Admin,Direct Expenses,Operational & Maint Supplies,9655,62510,false,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Uniforms,-181,62815,false,0
General Fund,Community Svcs,Employee Benefits,Retirement,6114.22,62836.8,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Employee Benefits,Supplemental Retirement,15787.95,63073.98,false,0
Public Utilities Fund,PU Water Plant,Employee Benefits,Medicare,5254.6,63196,false,0
General Fund,PRCR - Parks - Highway Maint,Employee Benefits,Social Security,3866.84,63299.32,false,0
Transit CAMPO Fund,Planning  - CAMPO,Employee Benefits,Retirement,4664.21,63316,false,0
Public Utilities Fund,PU Sewer Maintenance,Employee Benefits,Medicare,4059.65,63499.55,false,0
Parking Facilities Fund-Operat,Parking Operations,Salaries and Wages,Salaries-Ot For Ft Staff,0,63500,false,0
General Fund,Inspections,Other Expense,To Isf-Sir Workers Comp,1365,63564,false,0
Rcc/Pac Operations Fund,RCC Facility,Miscellaneous,Training & Travel & Reg,5108,63668,false,0
General Fund,Budget & Management Services,Employee Benefits,Retirement,-28446.09,63857.77,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Employee Benefits,FICA Temp,318.32,64152.47,false,0
Parking Facilities Fund-Operat,Parking Operations,Direct Expenses,Vehicle Maint & Operation,1449,64160,false,0
General Fund,Public Works,Direct Expenses,Computer Lease,5002.24,64268.6,false,0
General Fund,Transportation Field Services,Salaries and Wages,Longevity,15271.08,64478.31,false,0
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Salaries and Wages,Salaries-Ft,-28583.1,64502.57,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Miscellaneous,Promotions,31620.34,64520.34,false,0
General Fund,PRCR - F&O - City Fac Maint,Interfund Transfers In/Out,To 310 W/S Reimb,12600,64814,false,0
General Fund,Transportation Field Services,Employee Benefits,Dental Insurance,13123.92,64991.92,false,0
SWS Operating Fund,Solid Waste Yardwaste Ctr,Capital Equipment,Capital Equipment-Other,65000,65000,false,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Event Personnel Income,-35000,65000,true,0
Public Utilities Fund,PU Water Distribution,Employee Benefits,Medicare,6604,65272.65,false,0
General Fund,Planning,Direct Expenses,Rental-Real Property,1877.36,65737.36,false,0
General Fund,Community Svcs,Interfund Transfers In/Out,To 810 Grants/Grants Match,65744,65744,false,0
Grants Fund,Community Svcs,Grant Year 2015/2016,Fr 100 For Grants/Match,65744,65744,true,0
General Fund,Fire Support Svcs,Interfund Transfers In/Out,To 310 W/S Reimb,0,66000,false,0
General Fund,Police Detective Division,Direct Expenses,Operational & Maint Supplies,45000,66200,false,0
General Fund,Police Field Operations,Capital Equipment,Capital Equipment-Other,-13735,66265,false,0
General Fund,Special Appropriations,Other Expense,To ISF-Prop/Liab Premium,3551,66553,false,0
General Fund,PRCR - Resources,Direct Expenses,Small Equipment,-13700,66631,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Salaries and Wages,Salaries-Pt Temp/Seasonal,660,66635,false,0
SWS Operating Fund,Solid Waste Residential Collec,Employee Benefits,Dental Insurance,12609.12,66678.56,false,0
Stormwater Utility Fund,Stormwater Management,Employee Benefits,Health Insurance (Retiree),-90900,66828,false,0
General Fund,City Attorney,Miscellaneous,Licenses/Dues & Publications,0,67000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Operational & Maint Supplies,-30000,67000,false,0
Revolving Fund,PRCR - Recreation,Athletics,Approp From Prior Year,-33000,67000,true,0
General Fund,PRCR - F&O - Park Fac Maint,Direct Expenses,Equipment Usage Charge,-6620,67254,false,0
SWS Operating Fund,Solid Waste Residential Collec,Employee Benefits,Medicare,3988.8,67291.64,false,0
General Fund,PRCR - Recreation,Direct Expenses,Equipment Usage Charge,-9163,67820,false,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Equipment Usage Charge,21780,67880,false,0
Revolving Fund,PRCR - Recreation,Capital Equipment,Athletic/Exercise Equip,3963.29,67884.36,false,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Rental-Real Property,3000,68000,false,0
SWS Operating Fund,Solid Waste Admin,Direct Expenses,Service Contracts-Other,4035,68000,false,0
General Fund,Transportation Field Services,Employee Benefits,Medicare,4790.7,68073.93,false,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Rental-Real Property,0,68400,false,0
Public Utilities Fund,PU Sewer Maintenance,Employee Benefits,Dental Insurance,8716.8,68464.72,false,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Contractual Svcs-Other,68500,68500,false,0
General Fund,Fire Training,Employee Benefits,Health Insurance,5730.24,68646.24,false,0
General Fund,PRCR - Recreation,Employee Benefits,Dental Insurance,14094.92,68691.64,false,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Credit Card Fees,2300,69000,false,0
General Fund,Emergency Communications,Direct Expenses,Operational & Maint Supplies,-1522,69178,false,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Dental Insurance,16632.84,69221.28,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Service Contracts-Other,490,69330,false,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Salaries-Pt Temp/Seasonal,21687,69392,false,0
General Fund,Emergency Communications,Employee Benefits,Medicare,595.02,69618.53,false,0
General Fund,PRCR - Parks - Urban Trees,Salaries and Wages,Salaries-Pt Temp/Seasonal,-9795,69751,false,0
General Fund,Fire Operations,Direct Expenses,Computer Lease,8106.48,69757.48,false,0
General Fund,Public Works,Employee Benefits,Medicare,1826.99,69865.08,false,0
Revolving Fund,PRCR - Recreation,Miscellaneous,Training & Travel & Reg,9245,69945,false,0
General Fund,Office of the Fire Marshall,Direct Expenses,Equipment Usage Charge,30780,69980,false,0
General Fund,Transportation Field Services,Miscellaneous,Landfill Charges,0,70000,false,0
General Fund,Transportation Field Services,Other Expense,Bridge Inspection,70000,70000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Salaries and Wages,Event Personnel-Perm,5000,70000,false,0
Rcc/Pac Operations Fund,RCC Facility,Salaries and Wages,Event Personnel-Perm,0,70000,false,0
SWS Operating Fund,Solid Waste Admin,Miscellaneous,Advertising,1510,70000,false,0
General Fund,PRCR - Recreation,Non-Program Revenues,Athletic Fees-Youth,0,70000,true,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Fees-LT Permit Fee,48300,70000,true,0
Rcc/Pac Operations Fund,Performing Arts Center,Employee Benefits,Health Insurance (Retiree),10978.28,70018,false,0
General Fund,PRCR - Recreation,Salaries and Wages,Longevity,3176.24,70067.86,false,0
General Fund,PRCR - Recreation,Direct Expenses,Small Equipment,38500,70080,false,0
General Fund,Development Services,Employee Benefits,Supplemental Retirement,6547.25,70265.25,false,0
General Fund,Construction Mgmt,Employee Benefits,Retirement,4534.14,70294.97,false,0
General Fund,PRCR - Parks - Greenway Maint,Employee Benefits,Social Security,3771.55,70326.47,false,0
General Fund,IT Enterprise Infrastructure M,Direct Expenses,Phone Lines,-48025,70800,false,0
SWS Operating Fund,Solid Waste Residential Collec,Direct Expenses,Operational & Maint Supplies,-750,70847,false,0
General Fund,PRCR - Resources,Direct Expenses,Service Contracts-Other,-20229,70930,false,0
Grants Fund,Community Svcs,Other Expense,In Kind Service - Gr,70958,70958,false,0
Grants Fund,Community Svcs,Grant Year 2015/2016,In Kind Contribution-City,70958,70958,true,0
General Fund,PRCR - Parks -Park Maintenance,Salaries and Wages,Longevity,6699.47,71275.38,false,0
General Fund,Fire Adm,Other Expense,To ISF-WC Excess Premium,-5996,71293,false,0
General Fund,PRCR - Parks - Highway Maint,Employee Benefits,Retirement,3694.76,71466.97,false,0
General Fund,Police Special Operations,Employee Benefits,Medicare,1179.92,71471.82,false,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Medicare,5096.63,71683.2,false,0
General Fund,Police Administrative Services,Salaries and Wages,Longevity,6184.28,71733.69,false,0
General Fund,PRCR - Resources,Employee Benefits,FICA Temp,979.9,71852.55,false,0
General Fund,PRCR - F&O - Park Fac Maint,Salaries and Wages,Salaries-Ot For Ft Staff,0,72318,false,0
General Fund,PRCR - Parks -Park Maintenance,Direct Expenses,Chemicals,1050,72714,false,0
Rcc/Pac Debt Svc Fund,Treasury Office,Capital Project Expense,Biannual Budget Reserve,0,73000,false,0
General Fund,PRCR - Resources,Direct Expenses,Rental-Other,2070,73080,false,0
General Fund,PRCR - Parks - Greenway Maint,Direct Expenses,Operational & Maint Supplies,0,73425,false,0
Community Dev Block Grant,Community Development,Other Expense,Tenant/Homeowner Counseling-Gr,0,73500,false,0
General Fund,Accounting & Fin Reporting,Direct Expenses,Audit Services,0,73500,false,0
Public Transit Fund-Operating,Transit Operations,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,0,73637,false,0
General Fund,Police Administrative Services,Direct Expenses,Photocopy Maint,5000,74000,false,0
Housing Development-Operating,Community Development,Employee Benefits,Social Security,-8800.63,74360.84,false,0
General Fund,PRCR - F&O - Park Fac Maint,Direct Expenses,Security Services,20764,74903.06,false,0
Public Utilities Fund,Public Utilities-Spec Appropri,Other Expense,To ISF-WC Excess Premium,-5006,74913,false,0
General Debt Service Fund,Treasury Office,Direct Expenses,Trustee Escrow Agent Expense,0,75000,false,0
General Fund,Development Services,Capital Project Expense,Const Renovation,75000,75000,false,0
General Fund,Fire Adm,Direct Expenses,Broadband/Internet Fees,0,75000,false,0
General Fund,Police Detective Division,Direct Expenses,Contractual Svcs-Other,-25000,75000,false,0
General Fund,Police Field Operations,Salaries and Wages,Salaries-Ot For Ft Staff,0,75000,false,0
General Fund,Public Works,Direct Expenses,Traffic Supplies,15000,75000,false,0
General Fund,Public Works,Salaries and Wages,Salaries-Ot For Ft Staff,9704,75000,false,0
General Fund,Purchasing,Salaries and Wages,Agency Personnel-Temp,75000,75000,false,0
SWS Operating Fund,Solid Waste Admin,Direct Expenses,Professional Svcs-Other,50000,75000,false,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Rental/Parking Rev-New Rcc,0,75000,true,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Merger Surcharge,0,75000,true,0
General Fund,Fire Adm,Other Expense,To ISF-Prop/Liab Premium,5388,75691,false,0
Community Dev Block Grant,Community Development,Other Expense,Eco Dev/Job Trng-Gr,0,76000,false,0
Parking Facilities Fund-Operat,Parking Operations,Other Expense,To ISF-Prop/Liab Premium,-5840,76463,false,0
SWS Operating Fund,Solid Waste Residential Collec,Employee Benefits,Supplemental Retirement,827.27,76781.46,false,0
General Fund,Information Technology Admin,Direct Expenses,Professional Svcs-Other,77000,77000,false,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Misc Water & Sewer Svc Chgs,0,77000,true,0
General Fund,PRCR - Parks - Greenway Maint,Employee Benefits,Retirement,1228.98,77123.07,false,0
General Fund,City Attorney,Employee Benefits,Supplemental Retirement,-6628.16,77139.27,false,0
General Fund,Office of Sustainability,Salaries and Wages,Salaries-Pt Temp/Seasonal,765,77265,false,0
Revolving Fund,Fire Training,Fire-Usar Team Expd,Municipal Fire Usar Support,13971,77641,true,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Operational & Maint Supplies,-18240,77760,false,0
General Fund,PRCR - Parks - Greenway Maint,Direct Expenses,Motor Fuels & Lubricants,3792,77779,false,0
General Fund,PRCR - Business Process Mgmt,Employee Benefits,Health Insurance,-24665.76,77910.24,false,0
General Fund,Fire Adm,Employee Benefits,Health Insurance,8778.24,78186.24,false,0
General Fund,PRCR - Parks - Highway Maint,Direct Expenses,Motor Fuels & Lubricants,3752,78257,false,0
Parking Facilities Fund-Operat,Parking Operations,Direct Expenses,POA Dues,78300,78300,false,0
Public Utilities Fund,PU Utility Billing,Direct Expenses,Computer Operations & Access,-41296,78375,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Contractual Svcs-Other,-96638,78518.52,false,0
Public Utilities Fund,PU Facilities Support,Direct Expenses,Natural Gas Svc,0,78800,false,0
Stormwater Utility Fund,Stormwater Management,Employee Benefits,Supplemental Retirement,-5660.36,79029.81,false,0
Public Utilities Fund,Resource Recovery,Employee Benefits,Medicare,675.97,79697.65,false,0
Public Utilities Fund,Public Utilities Admin,Direct Expenses,Contractual Svcs-Other,0,80000,false,0
Rcc/Pac Operations Fund,RCC Facility,Direct Expenses,Broadband/Internet Fees,0,80000,false,0
Rcc/Pac Operations Fund,RCC Facility,Other Expense,RCC/ PAC Advertise/Mkting Exp,0,80000,false,0
General Fund,PRCR - Resources,Miscellaneous,Organization Dev & Training,266,81215,false,0
General Fund,PRCR - Recreation,Direct Expenses,Motor Fuels & Lubricants,-4748,81900,false,0
General Fund,PRCR - Recreation,Direct Expenses,Chemicals,0,82000,false,0
Public Utilities Fund,PU Sewer Maintenance,Employee Benefits,Supplemental Retirement,-3445.13,82182.27,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Equipment Usage Charge,40452,82201,false,0
General Fund,PRCR - Recreation-School Based,Employee Benefits,Health Insurance,0,82368,false,0
General Fund,Police Administrative Services,Employee Benefits,Supplemental Retire-Police,1901.4,82368.82,false,0
Revolving Fund,PRCR - Recreation,Direct Expenses,Computer Lease,-27509.05,83151.95,false,0
Housing Development-Operating,Community Development,Employee Benefits,Retirement,-10875.12,83955.79,false,0
General Fund,Revenue,Direct Expenses,Contractual Svcs-Other,1000,84000,false,0
General Fund,Public Works,Salaries and Wages,Longevity,-2827.79,84149.86,false,0
General Fund,PRCR - F&O - Park Fac Maint,Employee Benefits,Social Security,8697.2,84351.88,false,0
General Fund,Fire Support Svcs,Direct Expenses,Service Contracts-Other,0,84400,false,0
General Fund,PRCR - Parks - Greenway Maint,Direct Expenses,Vehicle Maint & Operation,-13000,85000,false,0
Housing Development-Operating,Community Development,Direct Expenses,Property Maintenance,35000,85000,false,0
Public Utilities Fund,PU Sewer Maintenance,Miscellaneous,Landfill Charges,35000,85000,false,0
Public Utilities Fund,PU Water Plant,Direct Expenses,Annual Maint Agreements,0,85000,false,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Stub Inspection Fee,0,85000,true,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Advertising Income,0,85000,true,0
General Fund,PRCR - Recreation,Employee Benefits,Medicare,5378.92,85109.73,false,0
General Fund,IT Strategy & Planning,Employee Benefits,Health Insurance,11568,85332,false,0
Revolving Fund,PRCR - Resources,Direct Expenses,Rsv-Program,0,85535,false,0
Revolving Fund,PRCR - Resources,Arts Commission,Approp From Prior Year,0,85535,true,0
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,Social Security,-479.12,86115.03,false,0
General Fund,Fire Operations,Direct Expenses,Contractual Svcs-Other,0,86322,false,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Social Security,6398.11,86798.74,false,0
General Fund,PRCR - Parks - Cemetery Maint,Non-Program Revenues,Cemetery Lots & Svcs,-13000,87000,true,0
Public Utilities Fund,PU Water Plant,Employee Benefits,Supplemental Retirement,-4825.89,87524.12,false,0
General Fund,Emergency Communications,Direct Expenses,Telephone/Comm (Hard Lines),400,87623,false,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Supplemental Retirement,-2569.39,87668.55,false,0
General Fund,Public Works,Direct Expenses,Computer Operations & Access,-10650,87700,false,0
General Fund,Public Affairs,Employee Benefits,Health Insurance,7533.12,87741.12,false,0
Public Utilities Fund,PU Water Distribution,Employee Benefits,Supplemental Retirement,-17.11,87868.83,false,0
Community Dev Block Grant,Community Development,Capital Project Expense,Acquisition Costs,-443500,88500,false,0
General Fund,Information Technology Admin,Employee Benefits,Health Insurance,40620,88968,false,0
SWS Operating Fund,Solid Waste Admin,Employee Benefits,Social Security,908.37,89151.04,false,0
General Fund,Inspections,Direct Expenses,Vehicle Maint & Operation,0,89400,false,0
General Fund,Planning,Employee Benefits,Supplemental Retirement,-1162.67,89584.06,false,0
General Fund,Fire Training,Direct Expenses,Safety/Medical Supplies,89875,89875,false,0
General Fund,Special Appropriations,Direct Expenses,Special Projects & Programs,5500,90000,false,0
General Fund,Transportation Field Services,Direct Expenses,Rental-Equipment,-25000,90000,false,0
Housing Development-Operating,Community Development,Direct Expenses,Contractual Svcs-Other,0,90000,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Other Expense,Producer Profit Exp,50000,90000,false,0
SWS Operating Fund,Solid Waste Residential Collec,Salaries and Wages,Holiday Pay,-7600,90000,false,0
General Fund,PRCR - Recreation,Non-Program Revenues,Walnut Crk Softball Fees,0,90000,true,0
Revolving Fund,PRCR - Recreation,Golden Years,Fees/Sales,40000,90000,true,0
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Approp From Prior Year,-3000,90000,true,0
SWS Operating Fund,Solid Waste Admin,Direct Expenses,Electric Service,0,90291,false,0
General Fund,City Attorney,Salaries and Wages,Salaries-Pt Temp/Seasonal,900,90900,false,0
General Fund,Fire Support Svcs,Employee Benefits,Health Insurance,10650.24,91038.24,false,0
General Fund,Public Works,Salaries and Wages,Salaries-Pt Temp/Seasonal,8902,91127,false,0
General Fund,PRCR - Parks -Park Maintenance,Capital Equipment,Grounds Maint Equip,54200,91700,false,0
General Fund,IT Enterprise Infrastructure M,Employee Benefits,Social Security,-9997.89,91911.63,false,0
General Fund,Inspections,Employee Benefits,Supplemental Retirement,4434.51,91944.6,false,0
General Fund,Neighborhood Code Enforcement,Direct Expenses,Computer Operations & Access,26960,91960,false,0
Rcc/Pac Operations Fund,RCC Facility,Interfund Transfers In/Out,To 310 W/S Reimb,0,92000,false,0
Utility Debt Service Fund,Treasury Office,Direct Expenses,Bond Re-Marketing Fees,7000,92000,false,0
General Fund,City Manager,Employee Benefits,Social Security,11175.7,92216.91,false,0
General Fund,IT Customer Relationship Mgt,Employee Benefits,Health Insurance,14301.12,93165.12,false,0
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,County Grants,93350,93350,true,0
SWS Operating Fund,Solid Waste Residential Collec,Salaries and Wages,Agency Personnel-Temp,0,93600,false,0
General Fund,Emergency Communications,Direct Expenses,Repairs-Other Equip,-1242,94988,false,0
General Fund,PRCR - Recreation,Direct Expenses,Transportation Svcs,0,95250,false,0
General Fund,PRCR - F&O - Park Fac Maint,Employee Benefits,Retirement,8991.13,95261.89,false,0
General Fund,PRCR - Parks - Urban Trees,Direct Expenses,Vehicle Maint & Operation,-1752,96248,false,0
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,Opeb- Post Employment Benefits,-1787,96329,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Advertising Income,80000,96500,true,0
General Fund,Human Resources,Direct Expenses,Special Projects & Programs,0,96625,false,0
General Fund,Stormwater Street Maintenance,Employee Benefits,Social Security,1855.75,96951.76,false,0
Parking Facilities Fund-Operat,Parking Operations,Employee Benefits,Retirement,-1571.12,97226.67,false,0
General Fund,Accounting & Fin Reporting,Employee Benefits,Retirement,6315.83,97998.52,false,0
General Fund,Fire Training,Direct Expenses,Special Projects & Programs,0,98737,false,0
Revolving Fund,Fire Training,Fire-Usar Team Expd,City Match,0,98740,true,0
Public Utilities Fund,PU Facilities Support,Employee Benefits,Health Insurance,3216,99024,false,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Other Expense,RCC/ PAC Production Exp,12400,99400,false,0
Economic Development Fund,Office of Economic Development,Direct Expenses,Entrepreneurship Prog Exp,0,100000,false,0
General Debt Service Fund,Treasury Office,Capital Project Expense,Bond Commission Exp,0,100000,false,0
General Debt Service Fund,Treasury Office,Direct Expenses,Financial Advisor,0,100000,false,0
General Fund,Fire Support Svcs,Direct Expenses,Natural Gas Svc,0,100000,false,0
General Fund,Police Administrative Services,Capital Equipment,Capital Equipment-Other,-40000,100000,false,0
General Fund,Police Administrative Services,Capital Equipment,Computer Equip,0,100000,false,0
General Fund,Police Detective Division,Salaries and Wages,Holiday Pay,0,100000,false,0
General Fund,Police Special Operations,Direct Expenses,Lease-Equipment,0,100000,false,0
General Fund,Public Affairs,Direct Expenses,Print Copy-Rmb,-20000,100000,false,0
General Fund,Special Appropriations,Direct Expenses,Rsv-Contingency,24374,100000,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Direct Expenses,Natural Gas Svc,0,100000,false,0
Revolving Fund,PRCR - Recreation,Interfund Transfers In/Out,To 625 Park Impv,0.14,100000,false,0
Stormwater Utility Fund,Treasury Office,Capital Project Expense,Bond Principal,93012,100000,false,0
Transit CAMPO Fund,Planning  - CAMPO,Interfund Transfers In/Out,To 100 Ind Cost,0,100000,false,0
Utility Debt Service Fund,Treasury Office,Direct Expenses,Bond Sale Services,0,100000,false,0
Walnut Creek Amph Operating Fd,Walnut Creek Amphitheatre,Direct Expenses,Operational & Maint Supplies,0,100000,false,0
Economic Development Fund,Non-Departmental,Non-Program Revenues,Interlocal Agreement-St. Aug S,0,100000,true,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Nuisance Abatements,-71869,100000,true,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 810 for Indirect Cost,0,100000,true,0
General Fund,Police Administrative Services,Non-Program Revenues,Taxi Driver Fees,0,100000,true,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Pac% Of Income,0,100000,true,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Rccc Ticket Sales,60000,100000,true,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Events Commission,-25000,100000,true,0
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Cablevision New Equip,0,100000,true,0
General Fund,Police Administrative Services,Capital Equipment,Audio Visual Equip,-105550,100450,false,0
